Company,Company_ID,Year,Total equity,Total assets,Receivables,BookLev(Debt_ratio),Mkt(Debt_ratio),Profitability ratio,Size (ln_total assets),Tangible_ratio (Fixed Asset ratio),Effective tax rate,Liquidity ratio,Asset_turn over,Change in Receivables,Current Asset,PPE,Total liabilities,Current Liabilities,Cashflow from operations,operating expenses,Revenue,Change in Revenue,Gross Profit,Operating Profit,Profit before tax,Net income,Auditor,Audit fee,Audit days,TAC,Rule of law,Financial sector rating,Institutional quality,Macroeconomic Mgt.,Accountability and corruption,Profit Tax
SAFE CEMENT,2,2008,16602000000.0,20337000000,2814000000,1.0,0.5505563225858848,0.2932585927127895,23.73570772406335,0.3739981314844864,0.302106770300675,1.695140553497494,0.7404157716532567,2814000000.0,7779000000,7606000000,20337000000.0,4589000000,4146000000.0,6591000000,27467000000,27467000000.0,12552000000,5964000000,4889000000,3412000000,Deloitte & Touche,90000.0,57.0,-734000000,4.0,3.0,3.5,3.5,3.5,17.7
SAFE CEMENT,2,2009,20941000000.0,22408000000,1999000000,1.0,0.5169208055549147,0.4191360228489825,23.83268387490422,0.37486611924312746,0.2736556898707795,3.3676643192488265,0.74708274988331,-815000000.0,11477000000,8400000000,22408000000.0,3408000000,9008000000.0,5815000000,29994000000,2527000000.0,13547000000,9392000000,9596000000,6970000000,Deloitte & Touche,90000.0,56.0,-2038000000,4.0,3.0,3.5,3.5,3.5,10.0
SAFE CEMENT,2,2010,17321000000.0,22931000000,2180000000,1.0,0.5696859783364802,0.3338275696655183,23.855755543855263,0.35445466835288475,0.29944473823373874,3.4761061946902654,0.8167764915405165,181000000.0,11784000000,8128000000,22931000000.0,3390000000,8735000000.0,2336000000,28075000000,-1919000000.0,9618000000,7655000000,7564000000,5299000000,Deloitte & Touche,90000.0,56.0,-3436000000,2.5,3.5,3.0,4.0,3.0,
SAFE CEMENT,2,2011,17499000000.0,22776000000,2614000000,1.0,0.565512104283054,0.3881278538812785,23.848973186922148,0.33851422550052684,0.3079376328844791,3.810827629122589,0.6347118492921636,434000000.0,12248000000,7710000000,22776000000.0,3214000000,5680000000.0,2010000000,35884000000,7809000000.0,9964000000,8840000000,8466000000,5859000000,Deloitte & Touche,80000.0,54.0,179000000,2.5,3.5,3.0,4.0,3.0,
SAFE CEMENT,2,2012,23866000000.0,30385000000,2197000000,1.0,0.5600818418093676,0.17847622181997697,24.13721490253373,0.4915254237288136,0.2852664576802508,3.151563937442502,1.3281898850373737,-417000000.0,13703000000,14935000000,30385000000.0,4348000000,5244000000.0,1701000000,22877000000,-13007000000.0,5875000000,5423000000,5423000000,3876000000,Ernst &Young,80000.0,120.0,-1368000000,2.5,3.5,3.0,4.0,3.0,
SAFE CEMENT,2,2013,23619000000.0,29486000000,1493000000,1.0,0.5552396196215046,0.1599403106559045,24.10718141137404,0.4821610255714576,0.32061068702290074,3.9223730814639906,1.4325414176747802,-704000000.0,13289000000,14217000000,29486000000.0,3388000000,4461000000.0,1884000000,20583000000,-2294000000.0,6056000000,4716000000,4716000000,3204000000,Deloitte,40000.0,106.0,-1257000000,2.5,3.5,3.0,4.0,3.0,
SAFE CEMENT,2,2014,21170000000.0,28223000000,2227000000,1.0,0.5713967566254328,0.15544059809375332,24.063403085304103,0.4814867306806505,0.2951903350809209,2.755005382131324,1.3391696322657176,734000000.0,12797000000,13589000000,28223000000.0,4645000000,3852000000.0,2194000000,21075000000,492000000.0,5565000000,4387000000,4387000000,3092000000,Ernst &Young,50000.0,119.0,-760000000,2.5,3.5,3.0,4.5,3.0,
SAFE CEMENT,2,2015,21052000000.0,28321000000,2431000000,1.0,0.5736131083790735,0.2153878747219378,24.066869415882984,0.4551392959288161,0.28704918032786886,2.742765273311897,1.1954328648009793,204000000.0,13648000000,12890000000,28321000000.0,4976000000,4694000000.0,2417000000,23691000000,2616000000.0,6985000000,6100000000,6100000000,4349000000,Ernst &Young,40000.0,118.0,-345000000,2.5,3.5,2.5,4.5,3.0,21.8
SAFE CEMENT,2,2016,19880000000.0,26240000000,3320000000,1.0,0.5689505637467476,0.18871951219512195,23.990550801022298,0.46535823170731705,0.2779900649598777,2.8470428280081577,1.054026913034746,889000000.0,12564000000,12211000000,26240000000.0,4413000000,2792000000.0,2030000000,24895000000,1204000000.0,6982000000,4952000000,5234000000,3779000000,Ernst &Young,50000.0,118.0,987000000,2.5,3.5,2.5,4.5,3.0,21.8
SAFE CEMENT,2,2017,21835000000.0,29181000000,2364000000,1.0,0.5719970205425748,0.06086151948185463,24.096783649501823,0.6677975394948769,0.5493033226152197,2.1498566588480585,1.3606733190338525,-956000000.0,8249000000,19487000000,29181000000.0,3837000000,2951000000.0,3354000000,21446000000,-3449000000.0,5130000000,1776000000,1866000000,841000000,Deloitte & Touche,60000.0,95.0,-2110000000,2.5,3.5,2.5,3.5,3.0,21.4
SAFE CEMENT,2,2018,22540000000.0,30214000000,1994000000,1.0,0.5727338211320468,0.05964122592175813,24.131571230067944,0.6530416363275303,0.11177105831533478,1.7666819012797075,1.3542805916629315,-370000000.0,7731000000,19731000000,30214000000.0,4376000000,2995000000.0,2901000000,22310000000,864000000.0,4656000000,1802000000,1852000000,1645000000,Deloitte & Touche,50000.0,102.0,-1350000000,2.5,3.0,2.5,3.0,3.0,20.9
SAFE CEMENT,2,2019,22021000000.0,29374000000,1640000000,1.0,0.5715341959334566,0.04367808265813304,24.10337576627808,0.6627970313883026,0.21981424148606812,1.9672689185650694,1.384847484795625,-354000000.0,7513000000,19469000000,29374000000.0,3819000000,2562000000.0,2287000000,21211000000,-1099000000.0,3723000000,1283000000,1292000000,1008000000,Deloitte & Touche,90000.0,127.0,-1554000000,2.5,2.5,2.5,3.0,3.0,21.0
British America Tobacco,3,2008,4893645000.0,5907169000,1734732000,1.0,0.5469188711147142,0.4336982740801897,22.49943253498583,0.9425836640190928,0.296459988423249,1.050639334810915,0.33879210620344036,1734732000.0,4623268000,5568001000,5907169000.0,4400433000,2386887000.0,2287000000,17435970000,10283369000.0,10283369000,2561929000,2416913000,1700395000,PWC,90000.0,57.0,-686492000,2.5,2.5,2.5,3.0,3.0,21.0
British America Tobacco,3,2009,4672076000.0,5910932000,1526456000,0.999998477397473,0.5585300537210671,0.3757815180414865,22.500069354746834,1.0562017969416668,0.2989776022729644,0.9160926598425452,0.3157626399192886,-208276000.0,4244326000,6243137000,5910923000.0,4633075000,1577821000.0,1884000000,18719542000,1283572000.0,11094396000,2221219000,2108964000,1478431000,PWC,90000.0,61.0,-99390000,2.5,2.5,2.5,3.0,3.0,21.0
British America Tobacco,3,2011,6412067000.0,8409916000,1656623000,1.0,0.5673947946101409,0.5543950736249922,22.852677322771992,0.8033778220852622,0.30917152901486045,1.3217193737433879,0.41761173162025733,130167000.0,6744085000,6756340000,8409916000.0,5102509000,3868818000.0,3775818000,20138122000,20138122000.0,8263399000,4662416000,4484116000,3097755000,PWC,78020.0,54.0,-771063000,2.5,3.5,3.5,4.0,3.0,33.2
British America Tobacco,3,2012,7097917000.0,9119917000,1506444000,1.0,0.5623387808754239,0.559679326028954,22.933726540114044,0.8823180079380109,0.3120226691531165,1.1912838721154888,0.4698808284816322,-150179000.0,6609287000,8046667000,9119917000.0,5548037000,4004450000.0,3130906000,19409000000,-729122000.0,7825820000,5104229000,4754302000,3270852000,PWC,82580.0,59.0,-733598000,2.5,4.0,3.5,4.5,3.0,33.2
British America Tobacco,3,2013,7571608000.0,10204821000,3037624000,1.0,0.5740647348238501,0.565532604638533,23.04612609263302,0.8284508861056945,0.319246502027896,1.2808954581974803,0.520157435379563,1531180000.0,7928219000,8454193000,10204821000.0,6189591000,3420729000.0,3206779000,19618716000,209716000.0,8724446000,5771159000,5469955000,3723691000,PWC,92040.0,58.0,302962000,2.5,4.0,3.5,4.5,3.0,33.2
British America Tobacco,3,2014,8126922000.0,11070605000,2495520000,1.0,0.5766682864933593,0.5755506587038378,23.12755923438677,0.8377011012496607,0.30188326676148103,1.257971808429141,0.5263612458018804,-542104000.0,8703127000,9273858000,11070605000.0,6918380000,4730110000.0,3113092000,21032333000,1413617000.0,9213756000,6371694000,6095419000,4255314000,PWC,95170.0,57.0,-474796000,2.5,4.0,3.5,4.0,3.0,32.4
British America Tobacco,3,2015,8853178000.0,12080481000,3389353000,1.0,0.5770840635170373,0.6351111350615923,23.214856846541164,0.7522815523653404,0.30293818293065233,1.504266684803334,0.5427677681747851,893833000.0,8891236000,9087923000,12080481000.0,5910678000,3930350000.0,3098101000,22257182000,1224849000.0,10433044000,7672448000,7138902000,4976256000,KPMG ,99800.0,56.0,1045906000,3.0,4.0,3.5,4.5,3.0,27.4
British America Tobacco,3,2016,8796789000.0,12153840000,2418327000,1.0,0.5801181434695827,0.51061903069318,23.2209110061826,0.7836041119514491,0.2836894021798891,1.2754160766423002,0.6122871847068658,-971026000.0,7864741000,9523799000,12153840000.0,6166412000,5161435000.0,3148705000,19849901000,-2407281000.0,8858080000,6205982000,5911310000,4234334000,KPMG ,97400.0,53.0,-927101000,3.0,4.0,3.5,4.5,3.0,30.1
British America Tobacco,3,2017,7840223000.0,11228758000,2834757000,1.0,0.5888493989269799,0.4774357057120654,23.1417440029643,0.8134375146387517,0.3145582350152858,1.32383586443349,0.6013270179336836,416430000.0,8514719000,9133893000,11228758000.0,6431854000,4713472000.0,3058047000,18673297000,-1176604000.0,7942234000,5361010000,4866943000,3336006000,KPMG ,97400.0,46.0,-1377466000,3.0,4.0,3.5,4.5,3.0,29.8
British America Tobacco,3,2018,9318820000.0,12555800000,2414218000,1.0,0.5739893995872842,0.49531348062250113,23.25344854715956,0.724558610363338,0.3054413504681209,1.6656903917629002,0.6050948584189935,-420539000.0,8623549000,9097413000,12555800000.0,5177162000,5300226000.0,3575492000,20750135000,2076838000.0,9433454000,6219057000,5880746000,4084523000,KPMG ,121360.0,44.0,-1215703000,3.0,4.0,3.5,4.5,3.0,29.8
